"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2019;"Terrestre";"MOTCIN";"Court";0;0;0;0;0
2020;"Terrestre";"MOTCIN";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2022;"Terrestre";"MOTCIN";"Court";0,0125;0,125;0,25;0,375;0,4875
2002;"Aquatique";"PANBIA";"Court";3;3;3;3;3
2003;"Aquatique";"PANBIA";"Court";0,5;0,5;0,5;0,5;0,5
2008;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2010;"Aquatique";"PANBIA";"Court";1,5;1,5;1,5;1,5;1,5
2011;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2015;"Aquatique";"PANBIA";"Court";0,525;0,75;1;2;2,9
2016;"Aquatique";"PANBIA";"Court";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857
2017;"Aquatique";"PANBIA";"Court";0,75;0,75;0,75;0,75;0,75
2018;"Aquatique";"PANBIA";"Court";1,41916666666667;1,59166666666667;1,78333333333333;1,975;2,1475
2019;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2001;"STOC-rozo";"PANBIA";"Court";0;0;0,416666666666667;0,875;0,9875
2002;"STOC-rozo";"PANBIA";"Court";0,156410256410256;0,871794871794872;1,66666666666667;2,66666666666667;3,56666666666667
2003;"STOC-rozo";"PANBIA";"Court";0,0846846846846847;0,36036036036036;0,666666666666667;0,833333333333333;0,983333333333333
2004;"STOC-rozo";"PANBIA";"Court";0,503070175438596;0,530701754385965;0,56140350877193;0,780701754385965;0,978070175438597
2007;"STOC-rozo";"PANBIA";"Court";0,270977011494253;0,53735632183908;0,833333333333333;2,46014492753623;3,92427536231884
2008;"STOC-rozo";"PANBIA";"Court";0,301984126984127;0,448412698412698;0,611111111111111;0,630555555555556;0,648055555555556
2009;"STOC-rozo";"PANBIA";"Court";1,83958333333333;2,01121794871795;2,20192307692308;2,39262820512821;2,56426282051282
2010;"STOC-rozo";"PANBIA";"Court";0,00986842105263157;0,0986842105263158;0,180075187969925;0,458928571428571;1,08089285714286
2011;"STOC-rozo";"PANBIA";"Court";0,116666666666667;1,16666666666667;2,33333333333333;2,37254901960784;2,4078431372549
2013;"STOC-rozo";"PANBIA";"Court";0,91969696969697;1,01515151515152;1,12121212121212;1,22727272727273;1,32272727272727
2014;"STOC-rozo";"PANBIA";"Court";1,10969669117647;1,56755514705882;2,07628676470588;2,58501838235294;3,04287683823529
2015;"STOC-rozo";"PANBIA";"Court";0,366194968553459;0,435534591194969;0,512578616352201;0,589622641509434;0,658962264150943
2016;"STOC-rozo";"PANBIA";"Court";0,147619047619048;0,19047619047619;0,238095238095238;0,381547619047619;0,510654761904762
2017;"STOC-rozo";"PANBIA";"Court";0,589583333333333;0,645833333333333;0,708333333333333;0,979166666666667;1,22291666666667
2018;"STOC-rozo";"PANBIA";"Court";0,570634920634921;0,706349206349206;0,857142857142857;0,866071428571429;0,874107142857143
2019;"STOC-rozo";"PANBIA";"Court";0,684652173913044;1,26652173913043;1,91304347826087;2,28985507246377;2,62898550724638
2020;"STOC-rozo";"PANBIA";"Court";0,0116666666666667;0,116666666666667;0,233333333333333;1,52843137254902;2,69401960784314
2021;"STOC-rozo";"PANBIA";"Court";0,0282608695652174;0,282608695652174;0,565217391304348;0,682608695652174;0,788260869565218
2022;"STOC-rozo";"PANBIA";"Court";0,0296296296296297;0,296296296296296;0,592592592592593;1,82407407407407;2,93240740740741
2015;"Terrestre";"PANBIA";"Court";1;1;1;1;1
2008;"Aquatique";"PAPALU";"Court";0;0;0;0;0
2015;"Aquatique";"PAPALU";"Court";0;0;0;0;0
2017;"Aquatique";"PAPALU";"Court";0;0;0;0;0
2005;"STOC-rozo";"PAPALU";"Court";0;0;0;0;0
2006;"STOC-rozo";"PAPALU";"Court";0;0;0;0;0
2010;"STOC-rozo";"PAPALU";"Court";0;0;0;0;0
1989;"Terrestre";"PAPALU";"Court";0,0312499999999999;0,3125;0,625;0,9375;1,21875
1990;"Terrestre";"PAPALU";"Court";0;0;0;1,75;2
1991;"Terrestre";"PAPALU";"Court";0,05;0,5;0,666666666666667;1,5;1,95
1992;"Terrestre";"PAPALU";"Court";1,1;2;3;3;3,45
1993;"Terrestre";"PAPALU";"Court";0;0,75;1,5;2,25;3,825
1994;"Terrestre";"PAPALU";"Court";1,5375;1,875;4;6,25;6,925
1995;"Terrestre";"PAPALU";"Court";0;0;0;0,333333333333333;1,23333333333333
1996;"Terrestre";"PAPALU";"Court";0;0;0;0;0,225
1997;"Terrestre";"PAPALU";"Court";2,075;2,75;3,5;4,25;4,925
1998;"Terrestre";"PAPALU";"Court";0,05;0,5;1;2;2
1999;"Terrestre";"PAPALU";"Court";0,0125;0,125;0,25;0,375;0,4875
2000;"Terrestre";"PAPALU";"Court";0,025;0,25;0,5;0,75;0,975
2001;"Terrestre";"PAPALU";"Court";0;0,166666666666667;0,666666666666667;0,916666666666667;1,875
2002;"Terrestre";"PAPALU";"Court";0;0;0,5;1;2
2003;"Terrestre";"PAPALU";"Court";0;0,25;1;1,375;11,075
2004;"Terrestre";"PAPALU";"Court";0;0;0;0,375;1,96875
2005;"Terrestre";"PAPALU";"Court";0;0;1;1,75;3,65
2006;"Terrestre";"PAPALU";"Court";0;0;1;2;2
2007;"Terrestre";"PAPALU";"Court";0;0;0,666666666666667;1;4
2008;"Terrestre";"PAPALU";"Court";0;0;0;0,5;1,7125
2009;"Terrestre";"PAPALU";"Court";0;0;1;2;7,37499999999999
2010;"Terrestre";"PAPALU";"Court";0;0;0,5;2,33333333333333;10,45
2011;"Terrestre";"PAPALU";"Court";0;0;1;2;5
2012;"Terrestre";"PAPALU";"Court";0;0;0,25;1;3,65
2013;"Terrestre";"PAPALU";"Court";0;0;0;1;3,33333333333333
2014;"Terrestre";"PAPALU";"Court";0;0;1;2;4,575
2015;"Terrestre";"PAPALU";"Court";0;0;0;1;2,75
2016;"Terrestre";"PAPALU";"Court";0;0;0;1;2,2625
2017;"Terrestre";"PAPALU";"Court";0;0;0,5;1,5;2,2
2018;"Terrestre";"PAPALU";"Court";0;0;0;1;2
2019;"Terrestre";"PAPALU";"Court";0;0;0;1,6;4,5
2020;"Terrestre";"PAPALU";"Court";0;0;0;0,625;3,625
2021;"Terrestre";"PAPALU";"Court";0;0;0,8;1;6,5
2022;"Terrestre";"PAPALU";"Court";0;0,375;1,25;2,25;5,175
2000;"Terrestre";"PARATE";"Court";0;0;0;0;0
2002;"Terrestre";"PARATE";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2003;"Terrestre";"PARATE";"Court";1;1;1;1;1
2004;"Terrestre";"PARATE";"Court";0;0;0;0;0
2005;"Terrestre";"PARATE";"Court";0;0;0;0,333333333333333;2,73333333333333
2007;"Terrestre";"PARATE";"Court";0,0437499999999998;0,4375;0,875;1,3125;1,70625
2008;"Terrestre";"PARATE";"Court";0;0;0;0;0
2009;"Terrestre";"PARATE";"Court";0,075;0,75;1,5;3,5;7,55
2010;"Terrestre";"PARATE";"Court";1,5;1,5;1,5;1,5;1,5
2011;"Terrestre";"PARATE";"Court";0,5;0,5;0,5;0,5;0,5
2012;"Terrestre";"PARATE";"Court";0;0;0,25;0,625;0,9625
2013;"Terrestre";"PARATE";"Court";0;0;0;0;0
2014;"Terrestre";"PARATE";"Court";0;0;0;0,75;1,425
2015;"Terrestre";"PARATE";"Court";0;0;0;0;0,85
2016;"Terrestre";"PARATE";"Court";0;0;0;0;0
2017;"Terrestre";"PARATE";"Court";0,3875;0,875;1,41666666666667;1,95833333333333;2,44583333333333
2018;"Terrestre";"PARATE";"Court";0;0;0;0;0
2019;"Terrestre";"PARATE";"Court";0;0;0;0;0,9
2020;"Terrestre";"PARATE";"Court";0,0166666666666667;0,166666666666667;0,333333333333333;0,666666666666667;0,966666666666667
2021;"Terrestre";"PARATE";"Court";0;0;0,2;0,5;1,31
2022;"Terrestre";"PARATE";"Court";0;0;0;0,1;0,37
2003;"Aquatique";"PARCAE";"Court";8;8;8;8;8
2006;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2007;"Aquatique";"PARCAE";"Court";1;1;1;1;1
2008;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2009;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2010;"Aquatique";"PARCAE";"Court";0,075;0,75;1;1,125;1,4625
2011;"Aquatique";"PARCAE";"Court";0,025;0,25;0,5;0,75;0,975
2012;"Aquatique";"PARCAE";"Court";0;0;0;1;1,9
2014;"Aquatique";"PARCAE";"Court";0,915873015873016;1,15873015873016;1,42857142857143;10,2142857142857;18,1214285714286
2015;"Aquatique";"PARCAE";"Court";0,5125;0,625;1,33333333333333;3,125;6,1625
2016;"Aquatique";"PARCAE";"Court";0;0;0,5;2,75;7,475
2017;"Aquatique";"PARCAE";"Court";0,0416666666666667;0,5;1,5;3,125;5,6875
2018;"Aquatique";"PARCAE";"Court";0,175;1,75;3;3,33333333333333;10,2333333333333
2019;"Aquatique";"PARCAE";"Court";0,01875;0,1875;0,267857142857143;0,714285714285714;1,87142857142857
2020;"Aquatique";"PARCAE";"Court";0,05;0,5;1;1,11111111111111;1,21111111111111
2021;"Aquatique";"PARCAE";"Court";2;2;2;2;2
2022;"Aquatique";"PARCAE";"Court";0,25;0,25;0,25;0,25;0,25
1999;"STOC-rozo";"PARCAE";"Court";0,05;0,5;1;1;1
2000;"STOC-rozo";"PARCAE";"Court";0;0;0;0;0
2001;"STOC-rozo";"PARCAE";"Court";0;0;1;2,5;3,85
2002;"STOC-rozo";"PARCAE";"Court";0;0;1;2;2
2003;"STOC-rozo";"PARCAE";"Court";0,0625;0,875;2,16666666666667;2,83333333333333;3
2004;"STOC-rozo";"PARCAE";"Court";0;0;0;1,5;2,85
2005;"STOC-rozo";"PARCAE";"Court";0,345833333333333;0,458333333333333;0,625;1,0625;1,90625
2006;"STOC-rozo";"PARCAE";"Court";0;0;0,5;1;1
2007;"STOC-rozo";"PARCAE";"Court";0,41875;1,9375;2,75;4;6,7
2008;"STOC-rozo";"PARCAE";"Court";0,025;0,25;1;5;5,9
2009;"STOC-rozo";"PARCAE";"Court";0,0625;0,575;1,4;3,5;7,5
2010;"STOC-rozo";"PARCAE";"Court";1,0375;1,625;2,11111111111111;3,75;15,05
2011;"STOC-rozo";"PARCAE";"Court";0;0,178571428571429;0,982142857142857;2,1875;11,6875
2012;"STOC-rozo";"PARCAE";"Court";0,379166666666667;2,29166666666667;3;3,125;3,4625
2013;"STOC-rozo";"PARCAE";"Court";0;0;0,25;0,5625;0,73125
2014;"STOC-rozo";"PARCAE";"Court";0,76875;0,9375;2;3,5625;5,08125
2015;"STOC-rozo";"PARCAE";"Court";0;0;1;1,32142857142857;3,2
2016;"STOC-rozo";"PARCAE";"Court";0,0416666666666666;0,416666666666667;1,11111111111111;4;10,3
2017;"STOC-rozo";"PARCAE";"Court";0,078125;1,21875;3,25;3,5;5,97916666666667
2018;"STOC-rozo";"PARCAE";"Court";0;0,0416666666666667;0,333333333333333;1,625;2
2019;"STOC-rozo";"PARCAE";"Court";0,475;0,85;1;2,5;6,5
2020;"STOC-rozo";"PARCAE";"Court";0;0,416666666666667;1,83333333333333;2,5;2,95833333333333
2021;"STOC-rozo";"PARCAE";"Court";0,15;1,5;2,5;3,16666666666667;3,61666666666667
2022;"STOC-rozo";"PARCAE";"Court";0;0;0;1;3,7
1989;"Terrestre";"PARCAE";"Court";2,5;2,5;2,5;2,5;2,5
1990;"Terrestre";"PARCAE";"Court";0,2625;2,625;4,16666666666667;5,33333333333333;7,29583333333333
1991;"Terrestre";"PARCAE";"Court";1;1;1,125;1,4375;3,6875
1992;"Terrestre";"PARCAE";"Court";0;0;3,5;11;24,2
1993;"Terrestre";"PARCAE";"Court";1,28125;1,575;2,9;5,5;10,0833333333333
1994;"Terrestre";"PARCAE";"Court";0,0416666666666667;0,416666666666667;0,833333333333333;3,25;4
1995;"Terrestre";"PARCAE";"Court";0;0,1;0,833333333333333;2,125;9,8
1996;"Terrestre";"PARCAE";"Court";0,0583333333333333;0,833333333333333;1,26666666666667;1,875;10,425
1997;"Terrestre";"PARCAE";"Court";0;0,4;1,8;3,5;4,875
1998;"Terrestre";"PARCAE";"Court";0,0583333333333333;0,583333333333333;2,58333333333333;3,125;5,0125
1999;"Terrestre";"PARCAE";"Court";0,1;0,85;1,25;3,375;18,875
2000;"Terrestre";"PARCAE";"Court";0;0,267857142857143;1;2;9,625
2001;"Terrestre";"PARCAE";"Court";0;0,05;0,5;2,125;5,3375
2002;"Terrestre";"PARCAE";"Court";0;0,5;1,5;3,75;12,7
2003;"Terrestre";"PARCAE";"Court";0;1;2;3;12,25
2004;"Terrestre";"PARCAE";"Court";0;0,666666666666667;1;3,375;5,4375
2005;"Terrestre";"PARCAE";"Court";0;0,5;1,33333333333333;3;10
2006;"Terrestre";"PARCAE";"Court";0;0,4375;1;2,54166666666667;7,09166666666665
2007;"Terrestre";"PARCAE";"Court";0;1;2;3,66071428571429;9,675
2008;"Terrestre";"PARCAE";"Court";0;0;0,5;2;4,9
2009;"Terrestre";"PARCAE";"Court";0;0,0357142857142857;2;4;11,7125
2010;"Terrestre";"PARCAE";"Court";0;0;1,5;3;13,8
2011;"Terrestre";"PARCAE";"Court";0;0,166666666666667;1,25;2,5;10,275
2012;"Terrestre";"PARCAE";"Court";0;0,1;1;2;5,7
2013;"Terrestre";"PARCAE";"Court";0;0;0,5;2;7
2014;"Terrestre";"PARCAE";"Court";0;0,708333333333333;1,66666666666667;3,75;17,94
2015;"Terrestre";"PARCAE";"Court";0;0;1;2,475;9,65000000000001
2016;"Terrestre";"PARCAE";"Court";0;0,25;1;2;9,70000000000001
2017;"Terrestre";"PARCAE";"Court";0;0,541666666666667;1,66666666666667;3;10,5833333333333
2018;"Terrestre";"PARCAE";"Court";0;0,270833333333333;1;2;5
2019;"Terrestre";"PARCAE";"Court";0;0,5;1,38095238095238;2,80833333333333;8,94999999999999
2020;"Terrestre";"PARCAE";"Court";0;0,291666666666667;1,42857142857143;3,16666666666667;11,675
2021;"Terrestre";"PARCAE";"Court";0;0;1;3,59375;12,375
2022;"Terrestre";"PARCAE";"Court";0;0,5;1;2,85714285714286;7,95
2017;"Aquatique";"PARCRI";"Court";0;0;0;0;0
2018;"STOC-rozo";"PARCRI";"Court";0;0;0;0;0
1989;"Terrestre";"PARCRI";"Court";1,14285714285714;1,14285714285714;1,14285714285714;1,14285714285714;1,14285714285714
1990;"Terrestre";"PARCRI";"Court";1;1;1;1;1
1991;"Terrestre";"PARCRI";"Court";2,05;2,5;3;3,5;3,95
1992;"Terrestre";"PARCRI";"Court";6,25;8,5;11;13,5;15,75
1993;"Terrestre";"PARCRI";"Court";1,55833333333333;2,08333333333333;2,66666666666667;3,33333333333333;3,93333333333333
1994;"Terrestre";"PARCRI";"Court";3;3;3;3;3
1995;"Terrestre";"PARCRI";"Court";4;4;4;4;4
1996;"Terrestre";"PARCRI";"Court";0;0;0;0;0
1997;"Terrestre";"PARCRI";"Court";1;1;1;1;1
1998;"Terrestre";"PARCRI";"Court";2;2;2;2;2
1999;"Terrestre";"PARCRI";"Court";0;0;0;0;0
2000;"Terrestre";"PARCRI";"Court";0;0;0;0,5;0,95
2001;"Terrestre";"PARCRI";"Court";0;0;0;0;0
2002;"Terrestre";"PARCRI";"Court";0;0;0;2,33333333333333;2,48333333333333
2003;"Terrestre";"PARCRI";"Court";0;0;0,333333333333333;0,916666666666667;5,375
2004;"Terrestre";"PARCRI";"Court";0,0374999999999999;0,375;0,75;1,125;1,4625
2005;"Terrestre";"PARCRI";"Court";0;0,25;1;1,425;4,325
2006;"Terrestre";"PARCRI";"Court";0,125;1,25;2,5;3,25;3,925
2007;"Terrestre";"PARCRI";"Court";0;0;1,25;3;4,3875
2008;"Terrestre";"PARCRI";"Court";0;0;0,25;0,8125;2,725
2009;"Terrestre";"PARCRI";"Court";0;0;0,166666666666667;1,45833333333333;2
2010;"Terrestre";"PARCRI";"Court";0;0;1,875;2,25;3,825
2011;"Terrestre";"PARCRI";"Court";0;0;0;1,5;3,7
2012;"Terrestre";"PARCRI";"Court";0;0;0;0,8;1,8
2013;"Terrestre";"PARCRI";"Court";0;0;0;3;3
2014;"Terrestre";"PARCRI";"Court";0;0;0;0;3,33333333333333
2015;"Terrestre";"PARCRI";"Court";0;0;0;1;4,1
2016;"Terrestre";"PARCRI";"Court";0;0;0;0,25;0,925
2017;"Terrestre";"PARCRI";"Court";0;0,1;0,7;1;5,375
2018;"Terrestre";"PARCRI";"Court";0;0;0;1,25;4,475
2019;"Terrestre";"PARCRI";"Court";0;0,125;0,75;1;2,3125
2020;"Terrestre";"PARCRI";"Court";0;0,75;2;2;2,825
2021;"Terrestre";"PARCRI";"Court";0;0;0;0,1;0,725
2022;"Terrestre";"PARCRI";"Court";0;0;0,375;1;4,775
2001;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2003;"Aquatique";"PARMAJ";"Court";0,5125;0,625;0,75;0,875;0,9875
2005;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2006;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2007;"Aquatique";"PARMAJ";"Court";0,625;1,75;3;5;6,8
2008;"Aquatique";"PARMAJ";"Court";1;1;1;1;1
2009;"Aquatique";"PARMAJ";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2010;"Aquatique";"PARMAJ";"Court";0,125;1,25;2,5;3,75;4,875
2011;"Aquatique";"PARMAJ";"Court";3,0375;3,375;3,75;4,125;4,4625
2012;"Aquatique";"PARMAJ";"Court";0,0125;0,125;0,25;0,375;0,4875
2013;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2014;"Aquatique";"PARMAJ";"Court";1;1;1;2;2,9
2015;"Aquatique";"PARMAJ";"Court";0;0;0,25;2,5;3,85
2016;"Aquatique";"PARMAJ";"Court";0,0375;0,375;0,75;1,25;1,925
2017;"Aquatique";"PARMAJ";"Court";0,125;1;1,5;6,5;10,625
2018;"Aquatique";"PARMAJ";"Court";0,025;0,25;0,5;2,75;4,775
2019;"Aquatique";"PARMAJ";"Court";0,5375;0,875;1,25;1,625;1,9625
2020;"Aquatique";"PARMAJ";"Court";0,125;1,25;2,5;3,75;4,875
2021;"Aquatique";"PARMAJ";"Court";4;4;4;4;4
1999;"STOC-rozo";"PARMAJ";"Court";2;2;2;2;2
2002;"STOC-rozo";"PARMAJ";"Court";1,0375;1,375;4,75;10,25;16,325
2003;"STOC-rozo";"PARMAJ";"Court";1,00625;1,0625;1,125;1,1875;1,24375
2004;"STOC-rozo";"PARMAJ";"Court";0;0;0;1,66666666666667;16,3666666666667
2005;"STOC-rozo";"PARMAJ";"Court";0,525;0,75;1;1,375;1,7125
2006;"STOC-rozo";"PARMAJ";"Court";0,0625;0,5;0,75;1,75;2,875
2007;"STOC-rozo";"PARMAJ";"Court";2,2;4;4;7;7
2008;"STOC-rozo";"PARMAJ";"Court";2;2;2;2;2
2009;"STOC-rozo";"PARMAJ";"Court";0;0;0,25;0,875;1,8875
2010;"STOC-rozo";"PARMAJ";"Court";0;0;0;1,25;4,625
2011;"STOC-rozo";"PARMAJ";"Court";0,0499999999999998;0,5;1;1,5;1,95
2012;"STOC-rozo";"PARMAJ";"Court";0,35;0,5;0,666666666666667;0,833333333333333;0,983333333333333
2013;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2014;"STOC-rozo";"PARMAJ";"Court";15;15;15;15;15
2015;"STOC-rozo";"PARMAJ";"Court";0,05;0,5;1;1,5;1,95
2016;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2017;"STOC-rozo";"PARMAJ";"Court";1;1;1;2;2,9
2018;"STOC-rozo";"PARMAJ";"Court";2,025;2,25;2,5;2,75;2,975
2019;"STOC-rozo";"PARMAJ";"Court";1;1;1;1;1
2020;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2021;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2022;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
1989;"Terrestre";"PARMAJ";"Court";0,497222222222222;0,972222222222222;1,5;2,02777777777778;2,50277777777778
1990;"Terrestre";"PARMAJ";"Court";0,455;1,94090909090909;3,2;7,70833333333333;19,8625
1991;"Terrestre";"PARMAJ";"Court";0,285714285714286;2,10909090909091;3;3,46666666666667;4,125
1992;"Terrestre";"PARMAJ";"Court";0,25;1,625;3;7,55;35,25
1993;"Terrestre";"PARMAJ";"Court";1,10714285714286;1,68269230769231;2;3,25274725274725;11,125
1994;"Terrestre";"PARMAJ";"Court";0,05;0,55;1;2,54166666666667;7,085
1995;"Terrestre";"PARMAJ";"Court";0;0,833333333333333;2,33333333333333;4,66666666666667;15,125
1996;"Terrestre";"PARMAJ";"Court";0,55625;0,895833333333333;1,83928571428571;2,73214285714286;3,58125
1997;"Terrestre";"PARMAJ";"Court";1,0875;1,59375;2,5;5,08333333333333;10,3583333333333
1998;"Terrestre";"PARMAJ";"Court";1,21875;2,54166666666667;4,28571428571429;5,875;8,375
1999;"Terrestre";"PARMAJ";"Court";2;2,75;3,07142857142857;3,625;9,95
2000;"Terrestre";"PARMAJ";"Court";0;1,25;3,125;4,25;12,555
2001;"Terrestre";"PARMAJ";"Court";0;0,8125;2,25;4,33333333333333;7,525
2002;"Terrestre";"PARMAJ";"Court";0,178571428571429;1,5;2,66666666666667;4;8,375
2003;"Terrestre";"PARMAJ";"Court";0;1,25;2,26785714285714;3,375;10,1125
2004;"Terrestre";"PARMAJ";"Court";0,109285714285714;0,55;1,5;2,9375;9
2005;"Terrestre";"PARMAJ";"Court";0;1,33333333333333;2,4;4,65;18
2006;"Terrestre";"PARMAJ";"Court";0;1;2,5;5;16
2007;"Terrestre";"PARMAJ";"Court";0;1;3;5,5;13,2
2008;"Terrestre";"PARMAJ";"Court";0;0,325;1;2,425;5,5
2009;"Terrestre";"PARMAJ";"Court";0;1;2;3,66666666666667;12,1
2010;"Terrestre";"PARMAJ";"Court";0;0,5;1,36666666666667;3,58333333333333;15,715
2011;"Terrestre";"PARMAJ";"Court";0;1;2;5;12,25
2012;"Terrestre";"PARMAJ";"Court";0;0,5;1,48076923076923;3,125;12,5875
2013;"Terrestre";"PARMAJ";"Court";0;0;1;2,125;7,45
2014;"Terrestre";"PARMAJ";"Court";0;1;2;4,6;10,55
2015;"Terrestre";"PARMAJ";"Court";0;0,5;1,25;2,95;8
2016;"Terrestre";"PARMAJ";"Court";0;0,5;1,5;3,16666666666667;9,19999999999999
2017;"Terrestre";"PARMAJ";"Court";0;0,666666666666667;1,5;4,5;17,1
2018;"Terrestre";"PARMAJ";"Court";0;0,741071428571429;1,66666666666667;3,71875;15,775
2019;"Terrestre";"PARMAJ";"Court";0;0,775;1,5;3;20,5
2020;"Terrestre";"PARMAJ";"Court";0;0,666666666666667;1,55555555555556;3,9;8
2021;"Terrestre";"PARMAJ";"Court";0;0,5;1,33333333333333;3;10,75
2022;"Terrestre";"PARMAJ";"Court";0;1,5;2;4;14,075
2001;"Aquatique";"PARNUS";"Court";0;0;0;0;0
2003;"Aquatique";"PARNUS";"Court";1;1;1;1;1
2006;"Aquatique";"PARNUS";"Court";0;0;0;0;0
2015;"Aquatique";"PARNUS";"Court";0;0;0;0;0
2004;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2005;"STOC-rozo";"PARNUS";"Court";0,0499999999999998;0,5;1;1,5;1,95
2006;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2009;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2010;"STOC-rozo";"PARNUS";"Court";1;1;1;1;1
2014;"STOC-rozo";"PARNUS";"Court";2;2;2;2;2
2015;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2018;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
2021;"STOC-rozo";"PARNUS";"Court";0;0;0;0;0
1989;"Terrestre";"PARNUS";"Court";0,369444444444444;0,694444444444444;1,05555555555556;1,41666666666667;1,74166666666667
1990;"Terrestre";"PARNUS";"Court";0,216666666666667;0,75;1,55555555555556;2;3,7
1991;"Terrestre";"PARNUS";"Court";0,553571428571428;0,928571428571429;1;2,5625;4,8125
1992;"Terrestre";"PARNUS";"Court";0,175;1,55;2;2,1875;2,46875
1993;"Terrestre";"PARNUS";"Court";0,525;0,75;1,66666666666667;3;3
1994;"Terrestre";"PARNUS";"Court";0;0;0,25;1,125;2,8125
1995;"Terrestre";"PARNUS";"Court";0;0;1;1;2,8
1996;"Terrestre";"PARNUS";"Court";0;0,166666666666667;1,33333333333333;2,75;3
1997;"Terrestre";"PARNUS";"Court";0;0,25;2,125;5,3125;7,75
1998;"Terrestre";"PARNUS";"Court";0;0;0,1;1,025;3,2525
1999;"Terrestre";"PARNUS";"Court";0,5375;0,875;1,25;1,625;1,9625
2000;"Terrestre";"PARNUS";"Court";0,05;0,5;1;1;7,3
2001;"Terrestre";"PARNUS";"Court";0;0,125;0,333333333333333;0,75;2,7
2002;"Terrestre";"PARNUS";"Court";0,0875;1,25;1,75;2,5;4
2003;"Terrestre";"PARNUS";"Court";0;0,375;1,45833333333333;2;3,1
2004;"Terrestre";"PARNUS";"Court";1;1,25;4;5,25;6,775
2005;"Terrestre";"PARNUS";"Court";0;0,166666666666667;0,904761904761905;1,22321428571429;5,40625
2006;"Terrestre";"PARNUS";"Court";0,15;1,5;2;3,83333333333333;6,7
2007;"Terrestre";"PARNUS";"Court";0,125;1;1,125;1,8125;2,875
2008;"Terrestre";"PARNUS";"Court";0;0,5;1,33333333333333;4,25;5
2009;"Terrestre";"PARNUS";"Court";0;0,125;0,75;1;3,1875
2010;"Terrestre";"PARNUS";"Court";0;0,333333333333333;0,75;1,57142857142857;2,7
2011;"Terrestre";"PARNUS";"Court";0,2;1;1,5;2;9,2
2012;"Terrestre";"PARNUS";"Court";0;0;1;1;3,55
2013;"Terrestre";"PARNUS";"Court";0;0;0,5;1,25;1,925
2014;"Terrestre";"PARNUS";"Court";0;0,05;1,5;2;6,1
2015;"Terrestre";"PARNUS";"Court";0;0,5;1,5;4;7,4
2016;"Terrestre";"PARNUS";"Court";0,55;1;3;3;3,9
2017;"Terrestre";"PARNUS";"Court";0;0,125;0,5;1,625;2,4375
2018;"Terrestre";"PARNUS";"Court";0;0;0;0,666666666666667;2,53333333333333
2019;"Terrestre";"PARNUS";"Court";0,0375;0,625;1;2,5;4,7
2020;"Terrestre";"PARNUS";"Court";0;0;0,5;1;1
2021;"Terrestre";"PARNUS";"Court";0;0;0;0,25;3,625
2022;"Terrestre";"PARNUS";"Court";0,525;0,75;1;3,5;5,75
2003;"Aquatique";"PASDOM";"Court";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2005;"Aquatique";"PASDOM";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2006;"Aquatique";"PASDOM";"Court";0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143
2008;"Aquatique";"PASDOM";"Court";2;2;2;2;2
2011;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2012;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2014;"Aquatique";"PASDOM";"Court";0;0;0;0;0
2002;"STOC-rozo";"PASDOM";"Court";1;1;1;1;1
2007;"STOC-rozo";"PASDOM";"Court";0;0;0;0;0
2009;"STOC-rozo";"PASDOM";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"STOC-rozo";"PASDOM";"Court";0;0;0;0;0
2012;"STOC-rozo";"PASDOM";"Court";0;0;0;0;0
